,estado,municipio,casosAcumulado,obitosAcumulado
313119,BA,Casa Nova,3513,81
313279,BA,Castro Alves,3011,45
313439,BA,Catolândia,600,1
313599,BA,Catu,9155,112
313759,BA,Caturama,286,11
313919,BA,Central,1489,20
314079,BA,Chorrochó,939,16
314239,BA,Cícero Dantas,3059,62
314399,BA,Cipó,1879,19
314559,BA,Coaraci,2816,59
314719,BA,Cocos,2305,25
314879,BA,Conceição da Feira,2530,35
315039,BA,Conceição do Almeida,4144,34
315199,BA,Conceição do Coité,11247,59
315359,BA,Conceição do Jacuípe,5120,49
315519,BA,Conde,1308,18
315679,BA,Condeúba,2269,35
315839,BA,Contendas do Sincorá,409,7
315999,BA,Coração de Maria,3108,27
316159,BA,Cordeiros,1053,10
316319,BA,Coribe,2003,23
316479,BA,Coronel João Sá,1770,21
316639,BA,Correntina,4813,50
316799,BA,Cotegipe,1430,26
316959,BA,Cravolândia,848,2
317119,BA,Crisópolis,763,20
317279,BA,Cristópolis,1430,11
317439,BA,Cruz das Almas,8621,81
317599,BA,Curaçá,2384,41
317759,BA,Dário Meira,1243,23
317919,BA,Dias d'Ávila,7798,189
318079,BA,Dom Basílio,1642,19
318239,BA,Dom Macedo Costa,484,10
318399,BA,Elísio Medrado,787,10
318559,BA,Encruzilhada,950,24
318719,BA,Entre Rios,2502,53
318879,BA,Esplanada,3414,38
319039,BA,Euclides da Cunha,4654,71
319199,BA,Eunápolis,17980,266
319359,BA,Fátima,1723,19
319519,BA,Feira da Mata,684,6
319679,BA,Feira de Santana,83987,1217
319839,BA,Filadélfia,1423,37
319999,BA,Firmino Alves,477,14
320159,BA,Floresta Azul,1175,24
320319,BA,Formosa do Rio Preto,2837,37
320479,BA,Gandu,4138,65
320639,BA,Gavião,657,5
320799,BA,Gentio do Ouro,1007,13
320959,BA,Glória,2073,26
321119,BA,Gongogi,1062,20
321279,BA,Governador Mangabeira,2032,24
321439,BA,Guajeru,702,10
321599,BA,Guanambi,17391,160
321759,BA,Guaratinga,1744,51
321919,BA,Heliópolis,1414,16
322079,BA,Iaçu,3158,54
322239,BA,Ibiassucê,2543,11
322399,BA,Ibicaraí,3398,77
322559,BA,Ibicoara,1780,13
322719,BA,Ibicuí,1509,30
322879,BA,Ibipeba,1401,14
323039,BA,Ibipitanga,2065,26
323199,BA,Ibiquera,193,6
323359,BA,Ibirapitanga,2353,46
323519,BA,Ibirapuã,1949,20
323679,BA,Ibirataia,2830,50
323839,BA,Ibitiara,1653,14
323999,BA,Ibititá,1840,32
324159,BA,Ibotirama,1777,57
324319,BA,Ichu,790,4
324479,BA,Igaporã,1477,25
324639,BA,Igrapiúna,882,14
324799,BA,Iguaí,1714,42
324959,BA,Ilhéus,27331,651
325119,BA,Inhambupe,2895,53
325279,BA,Ipecaetá,751,13
325439,BA,Ipiaú,5471,101
325599,BA,Ipirá,3335,80
325759,BA,Ipupiara,812,7
325919,BA,Irajuba,480,2
